resource_id,avg_cpu,avg_network_in,avg_network_out,monthly_cost,resource_label
res-normal-0001,76.44,44449.0,86001.2,354.74,normal
res-normal-0002,35.65,97586.6,76352.8,397.31,normal
res-normal-0003,37.69,45588.2,37709.0,464.85,normal
res-normal-0004,68.63,82453.4,44898.0,129.07,normal
res-normal-0005,63.28,7317.9,82935.5,323.2,normal
res-normal-0006,75.49,36098.1,97099.1,448.7,normal
res-normal-0007,76.7,20269.2,47205.4,41.03,normal
res-normal-0008,39.26,68621.8,74731.5,484.4,normal
res-normal-0009,49.55,37675.5,47486.0,110.95,normal
res-normal-0010,37.8,48094.8,23464.0,341.51,normal
res-normal-0011,56.23,83435.1,70326.2,169.94,normal
res-normal-0012,79.94,80671.7,39360.4,158.4,normal
res-normal-0013,70.95,14835.5,20790.9,23.53,normal
res-normal-0014,77.22,66820.2,70811.4,394.75,normal
res-normal-0015,57.53,57305.4,14839.9,74.97,normal
res-normal-0016,70.1,47638.5,56958.4,387.2,normal
res-normal-0017,68.08,55804.4,56361.5,165.9,normal
res-normal-0018,31.85,44235.0,22243.9,216.09,normal
res-normal-0019,81.2,24160.0,6772.0,155.06,normal
res-normal-0020,47.62,66529.7,56146.2,396.27,normal
res-normal-0021,69.86,41232.3,81588.0,100.15,normal
res-normal-0022,31.36,9914.7,72513.6,241.7,normal
res-normal-0023,39.68,50603.4,16078.9,354.23,normal
res-normal-0024,56.77,38721.1,30849.7,322.54,normal
res-normal-0025,51.71,9677.3,12682.6,481.71,normal
res-normal-0026,84.51,70271.0,27321.1,485.2,normal
res-normal-0027,76.73,71972.1,45486.8,150.68,normal
res-normal-0028,35.78,90357.6,46121.9,117.13,normal
res-normal-0029,48.36,58342.7,18500.5,431.17,normal
res-normal-0030,75.51,72226.8,43777.2,321.11,normal
res-normal-0031,65.05,65334.8,9360.0,219.59,normal
res-normal-0032,32.5,49905.1,33656.3,89.37,normal
res-normal-0033,36.2,59176.8,17888.7,464.06,normal
res-normal-0034,64.86,35340.1,59500.6,30.95,normal
res-normal-0035,87.51,48748.0,78490.8,59.71,normal
res-normal-0036,59.2,49580.0,93844.8,294.43,normal
res-normal-0037,58.41,27430.6,33825.3,269.92,normal
res-normal-0038,56.33,3139.6,82802.9,450.16,normal
res-normal-0039,38.41,55849.6,11749.0,342.68,normal
res-normal-0040,46.87,66282.8,72972.5,388.95,normal
res-normal-0041,36.46,91685.2,23791.2,37.96,normal
res-normal-0042,63.29,37721.3,83149.2,407.96,normal
res-normal-0043,49.03,95337.0,29800.9,267.23,normal
res-normal-0044,45.36,93668.3,17296.2,41.56,normal
res-normal-0045,56.11,99245.2,89276.0,379.33,normal
res-normal-0046,83.45,89451.2,52367.0,171.65,normal
res-normal-0047,76.32,66504.5,37992.1,65.34,normal
res-normal-0048,74.81,26983.6,93744.5,135.67,normal
res-normal-0049,37.37,83280.2,16175.1,106.05,normal
res-normal-0050,65.96,87581.6,20447.0,168.96,normal
res-normal-0051,76.64,97210.8,50573.4,89.07,normal
res-normal-0052,30.84,23735.9,14050.4,345.28,normal
res-normal-0053,37.31,51126.7,69732.0,298.94,normal
res-normal-0054,41.99,80608.3,71825.3,374.71,normal
res-normal-0055,37.86,13251.6,92828.7,210.84,normal
res-normal-0056,48.06,49369.8,66623.6,478.7,normal
res-normal-0057,47.19,92556.0,3461.1,286.5,normal
res-normal-0058,68.04,11483.8,14893.6,221.17,normal
res-normal-0059,87.97,60008.2,93369.3,406.09,normal
res-normal-0060,58.04,78691.6,2765.8,72.39,normal
res-normal-0061,79.77,79884.9,24031.4,274.77,normal
res-normal-0062,66.36,86906.2,60707.6,218.03,normal
res-normal-0063,52.45,43162.3,65541.2,436.4,normal
res-normal-0064,57.23,25536.1,24429.6,378.09,normal
res-normal-0065,78.99,11422.5,7589.3,305.33,normal
res-normal-0066,38.77,82641.8,31723.1,89.06,normal
res-normal-0067,85.26,17387.6,29187.3,93.73,normal
res-normal-0068,36.93,3093.7,6484.1,103.83,normal
res-normal-0069,33.2,59523.2,68390.7,208.94,normal
res-normal-0070,49.08,50948.1,87625.5,428.54,normal
res-normal-0071,32.61,18968.3,24437.7,139.71,normal
res-normal-0072,64.27,42210.0,5876.2,199.33,normal
res-normal-0073,61.43,11065.5,83512.4,44.94,normal
res-normal-0074,85.49,10812.2,84513.9,453.27,normal
res-normal-0075,88.77,80400.6,78168.3,328.39,normal
res-normal-0076,76.74,14320.7,54070.7,266.83,normal
res-normal-0077,81.45,46817.1,39123.9,326.99,normal
res-normal-0078,45.99,14837.1,48309.9,220.11,normal
res-normal-0079,43.95,37383.7,37272.9,177.2,normal
res-normal-0080,52.77,68888.6,30390.8,475.45,normal
res-normal-0081,84.98,48610.1,33507.8,277.01,normal
res-normal-0082,80.91,65606.1,80634.8,275.71,normal
res-normal-0083,67.98,29527.4,73754.4,117.15,normal
res-normal-0084,71.69,86211.2,14078.2,314.9,normal
res-normal-0085,35.71,72845.8,9364.8,469.25,normal
res-normal-0086,38.24,95929.1,80287.5,304.97,normal
res-normal-0087,76.96,79716.4,94656.7,141.62,normal
res-normal-0088,65.4,10409.9,62000.4,102.22,normal
res-normal-0089,63.9,57670.6,47132.5,270.86,normal
res-normal-0090,75.84,80125.2,49723.2,307.8,normal
